"fipstate","year","naics","emp","qp1","ap","est"
"09",1998,"622///",60041,543297,2264857,56
"09",1998,"623///",51273,281352,1196887,795
"09",1998,"624///",28436,107082,461323,1869
"09",1998,"711///",3815,24870,123660,399
"09",1998,"712///",1938,8367,38563,115
"09",1998,"713///",29093,139287,640928,958
"09",1998,"721///",11029,46564,215493,375
"09",1998,"722///",84837,223114,993356,6374
"09",1998,"811///",15266,98962,433975,2951
"09",1998,"812///",18602,76313,342299,3291
"09",1998,"813///",27710,134950,580563,3415
"10",1998,"113///",0,0,0,10
"10",1998,"114///",0,0,0,8
"10",1998,"115///",0,0,0,25
"10",1998,"211///",0,0,0,4
"10",1998,"212///",0,0,0,11
"10",1998,"221///",2426,43321,135147,24
"10",1998,"233///",4681,32881,144005,744
"10",1998,"234///",2453,20090,103126,92
"10",1998,"235///",13233,91766,429178,1463
"10",1998,"311///",9428,42442,183579,77
"10",1998,"312///",0,0,0,4
"10",1998,"313///",0,0,0,9
"10",1998,"314///",0,0,0,14
"10",1998,"315///",0,0,0,12
"10",1998,"316///",0,0,0,3
"10",1998,"321///",1115,4573,22588,23
"10",1998,"322///",0,0,0,8
"10",1998,"323///",953,7101,30158,90
"10",1998,"324///",837,12482,49668,15
"10",1998,"325///",7256,88802,353250,53
"10",1998,"326///",4445,44829,166092,56
"10",1998,"327///",950,7072,28939,40
"10",1998,"331///",775,8583,34261,9
"10",1998,"332///",2666,20532,91936,101
"10",1998,"333///",1355,11111,46557,30
"10",1998,"334///",2115,22699,103884,30
"10",1998,"335///",1343,12854,58245,12
"10",1998,"336///",6144,90364,342165,21
"10",1998,"337///",674,4803,18814,42
"10",1998,"339///",990,8234,31308,50
"10",1998,"421///",6796,65362,276676,634
"10",1998,"422///",8043,152525,512536,345
"10",1998,"441///",6237,42020,190157,370
"10",1998,"442///",2517,13163,59487,236
"10",1998,"443///",1347,6876,27332,149
"10",1998,"444///",3908,21777,97490,297
"10",1998,"445///",9203,32598,144145,598
"10",1998,"446///",3253,11720,48113,265
"10",1998,"447///",2487,8232,34296,311
"10",1998,"448///",4168,12653,56412,506
"10",1998,"451///",2045,6044,27746,244
"10",1998,"452///",8155,25964,106572,121
"10",1998,"453///",3040,9874,45248,473
"10",1998,"454///",1271,7841,34386,138
"10",1998,"481///",0,0,0,20
"10",1998,"483///",0,0,0,7
"10",1998,"484///",2874,20023,90196,293
"10",1998,"485///",2078,8254,33586,161
"10",1998,"486///",0,0,0,3
"10",1998,"487///",0,0,0,8
"10",1998,"488///",1137,8384,37125,88
"10",1998,"492///",575,3992,16670,17
"10",1998,"493///",585,4146,17438,27
"10",1998,"511///",2504,21778,109202,71
"10",1998,"512///",623,1608,7106,55
"10",1998,"513///",2808,34851,126058,111
"10",1998,"514///",2459,27083,119711,67
"10",1998,"522///",31077,359486,1372769,678
"10",1998,"523///",0,0,0,434
"10",1998,"524///",7651,72104,305179,432
"10",1998,"525///",0,0,0,26
"10",1998,"531///",2987,17735,79274,661
"10",1998,"532///",1457,6312,29896,213
"10",1998,"533///",446,4713,31669,217
"10",1998,"541///",17043,168837,824062,2029
"10",1998,"551///",20243,391476,1288596,1939
"10",1998,"561///",24991,101541,453782,1128
"10",1998,"562///",1126,8827,34413,58
"10",1998,"611///",5244,28502,117210,201
"10",1998,"621///",13075,117670,546449,1262
"10",1998,"622///",0,0,0,15
"10",1998,"623///",7120,30491,125723,100
"10",1998,"624///",0,0,0,471
"10",1998,"711///",2605,10668,55610,92
"10",1998,"712///",872,4376,18852,23
"10",1998,"713///",2816,9012,43080,207
"10",1998,"721///",2348,9208,44011,145
"10",1998,"722///",23519,58562,269937,1432
